txn_id,date,category,amount
t8032,2025-06-10,utilities,156.4
t5063,2025-04-13,food,33.72
t1209,2025-05-27,food,25.67
t10130,2025-03-31,food,37.42
a52,2025-01-19,travel,2004.41
t8894,2025-01-30,food,25.29
t6499,2025-07-10,other,88.07
t9518,2025-04-17,entertainment,64.44
t1278,2025-08-16,utilities,140.76
t2472,2025-05-07,utilities,211.54
t3939,2025-04-24,food,24.59
t102,2025-01-20,retail,121.22
t6900,2025-05-25,food,41.42
t725,2025-10-18,retail,162.61
t4817,2025-06-06,entertainment,107.39
t2378,2025-10-17,other,105.76
t813,2025-02-27,gas,74.65
t305,2025-05-18,travel,856.99
t8938,2025-05-09,food,18.15
t5404,2025-08-10,gas,49.54
t4641,2025-08-08,food,14.88
t8698,2025-01-06,retail,80.61
t6366,2025-01-31,food,18.07
t100,2025-03-16,food,16.35
t5100,2025-02-05,food,30.29
t851,2025-05-14,food,40.78
t5703,2025-07-28,food,29.9
t386,2025-05-01,retail,120.95
t4786,2025-10-25,food,23.67
t4044,2025-08-19,gas,73.15
t9781,2025-05-15,food,28.31
t7884,2025-03-04,other,139.9
t10787,2025-04-08,utilities,60.28
t9902,2025-02-19,food,28.43
t8254,2025-02-17,gas,53.98
t6413,2025-10-19,retail,102.18
t8302,2025-03-30,food,31.54
t5386,2025-05-21,gas,49.95
t10718,2025-07-30,other,37.32
t10332,2025-01-10,retail,76.53
t8721,2025-01-31,food,22.86
t10939,2025-06-11,retail,145.33
t10445,2025-06-30,entertainment,85.06
t2733,2025-06-06,food,43.44
t9446,2025-03-27,food,7.2
t9599,2025-08-11,gas,42.28
t462,2025-01-28,gas,77.55
t10568,2025-01-24,entertainment,101.99
t120,2025-05-19,gas,58.09
t1571,2025-10-25,food,17.01
t7736,2025-10-09,travel,381.0
t8619,2025-05-14,gas,46.06
t358,2025-02-03,food,24.46
t4309,2025-07-06,entertainment,61.53
t3910,2025-01-18,other,37.18
t2047,2025-07-03,food,18.88
t5366,2025-08-30,other,114.02
t2151,2025-02-09,food,32.23
t8123,2025-06-19,food,19.15
t4049,2025-01-12,utilities,185.02
t1982,2025-07-04,food,21.49
t1403,2025-03-11,retail,116.23
t10592,2025-05-12,other,96.8
t5584,2025-04-25,entertainment,72.17
t397,2025-07-14,gas,65.79
t1040,2025-03-10,other,43.37
t10610,2025-03-18,gas,39.16
t1587,2025-05-04,gas,78.67
t3692,2025-07-12,food,22.37
t5426,2025-02-18,gas,21.46
t380,2025-02-09,food,30.65
t7803,2025-03-15,retail,143.58
t2143,2025-04-28,food,22.43
t4129,2025-04-13,food,24.6
t2460,2025-04-29,gas,45.89
t11279,2025-03-26,gas,64.49
t1054,2025-06-19,food,21.47
t1787,2025-09-16,gas,43.0
t8205,2025-01-28,retail,134.19
t4843,2025-01-19,retail,179.13
t10320,2025-09-07,other,23.93
t10288,2025-10-01,food,15.64
t2246,2025-01-05,retail,103.22
t8608,2025-01-14,other,53.02
t7283,2025-09-18,other,46.58
t7842,2025-07-05,utilities,210.13
t3820,2025-04-07,utilities,120.59
t3379,2025-08-09,retail,200.73
t3922,2025-06-13,entertainment,72.46
t9605,2025-06-10,food,31.7
t2964,2025-03-24,gas,50.71
t9864,2025-08-13,gas,27.51
t7621,2025-01-28,food,27.31
t1497,2025-05-30,entertainment,137.23
t7467,2025-03-22,food,34.63
t5764,2025-01-27,food,19.3
t3703,2025-07-13,retail,56.08
t3895,2025-05-21,retail,102.99
t9319,2025-03-11,travel,584.65
t6467,2025-10-15,entertainment,93.1
t3661,2025-08-18,retail,113.8
t2086,2025-07-15,retail,127.27
t9819,2025-03-07,food,22.69
t4254,2025-08-01,other,81.63
t2352,2025-09-03,entertainment,65.77
t4376,2025-07-03,entertainment,67.47
t555,2025-08-26,other,108.75
t7086,2025-08-20,food,27.13
t7458,2025-08-06,food,24.33
t9573,2025-03-07,retail,116.05
t5021,2025-06-04,travel,431.52
t669,2025-09-15,retail,160.55
t3743,2025-02-23,food,24.34
t48,2025-07-08,retail,93.63
t10061,2025-05-14,retail,93.12
t10040,2025-01-10,food,18.81
t6840,2025-10-12,gas,19.61
a191,2025-08-24,utilities,1495.5
t1179,2025-05-01,other,78.23
t7602,2025-07-02,entertainment,120.61
t10962,2025-07-19,entertainment,45.02
t2992,2025-02-03,food,27.23
t1784,2025-05-29,travel,528.19
t4873,2025-05-04,other,90.63
t5848,2025-04-24,retail,120.23
t2219,2025-07-23,retail,98.35
t10448,2025-05-07,retail,56.02
t3915,2025-07-22,gas,71.7
t3223,2025-10-05,retail,79.31
t5139,2025-01-27,food,24.2
t5101,2025-09-09,gas,50.24
t4421,2025-08-18,food,24.62
t4314,2025-06-06,entertainment,65.45
t3004,2025-01-06,gas,55.26
t6683,2025-01-05,gas,85.68
t246,2025-05-04,entertainment,100.05
t9363,2025-10-20,other,115.84
t3530,2025-09-28,entertainment,87.31
t9534,2025-05-07,food,25.47
t8142,2025-10-25,entertainment,68.94
t9859,2025-08-21,entertainment,108.43
t7690,2025-09-15,travel,651.0
t10865,2025-02-06,retail,94.94
t2040,2025-04-10,entertainment,53.28
t1023,2025-04-17,food,9.85
t2689,2025-03-14,utilities,123.69
t8135,2025-07-01,retail,57.26
t11627,2025-02-24,retail,38.14
t8117,2025-01-03,food,33.47
t10260,2025-10-05,entertainment,9.37
t4694,2025-05-25,entertainment,70.6
t2373,2025-03-17,retail,127.79
t5839,2025-05-10,gas,40.24
t10697,2025-01-10,utilities,227.12
t4868,2025-03-24,retail,46.06
t11702,2025-02-10,other,58.76
t1693,2025-01-09,entertainment,81.69
t11595,2025-04-07,retail,104.67
t10308,2025-09-09,other,127.02
t1492,2025-04-09,food,16.81
t3786,2025-07-22,utilities,136.97
t3653,2025-02-03,food,16.16
t3672,2025-05-09,other,92.7
t10935,2025-04-06,food,7.82
t8566,2025-06-30,gas,48.61
t8573,2025-09-19,retail,90.13
t10615,2025-03-21,utilities,100.25
t5266,2025-07-16,food,24.79
t3449,2025-03-11,gas,63.02
t3680,2025-10-05,other,17.02
t6190,2025-02-10,travel,482.89
t7445,2025-01-04,gas,57.83
t6878,2025-05-13,entertainment,95.12
t4468,2025-04-16,food,26.78
t4098,2025-08-03,entertainment,17.71
t7338,2025-01-21,gas,63.2
t4157,2025-03-14,food,4.79
t7135,2025-08-12,retail,132.09
t5212,2025-04-30,utilities,144.77
t4681,2025-01-02,other,125.32
t2630,2025-04-26,food,17.22
t6364,2025-04-07,utilities,85.29
t2532,2025-02-10,retail,97.56
t1513,2025-10-25,retail,118.4
t4005,2025-01-29,entertainment,71.36
t4465,2025-04-07,food,18.71
t1011,2025-02-02,retail,210.01
t6508,2025-05-19,other,103.98
t11106,2025-01-08,food,13.45
t2423,2025-05-24,food,25.71
t2055,2025-02-07,utilities,166.08
t10307,2025-02-10,entertainment,78.82
t7638,2025-05-24,food,27.82
t6128,2025-06-07,retail,118.96
t5573,2025-05-19,utilities,73.79
t909,2025-07-28,gas,63.62
t11098,2025-07-24,gas,79.57
t7699,2025-05-27,gas,59.2
t8080,2025-06-25,utilities,97.65
t8983,2025-09-13,utilities,177.26
t6312,2025-05-02,utilities,130.43
t215,2025-09-08,gas,80.46
t2987,2025-02-02,retail,5.0
t9100,2025-03-07,gas,38.95
t3116,2025-08-11,retail,76.23
t7262,2025-03-22,utilities,210.01
t11102,2025-07-29,gas,46.39
t6189,2025-04-13,utilities,141.15
t10549,2025-10-27,retail,96.12
t6456,2025-09-20,entertainment,58.29
t15,2025-07-25,food,25.45
t2803,2025-05-16,retail,35.64
t11515,2025-03-09,utilities,29.68
t1702,2025-07-01,food,31.83
t2702,2025-10-18,utilities,92.33
t1321,2025-07-27,other,64.07
t10081,2025-10-17,utilities,194.86
t10141,2025-06-17,food,32.16
t8063,2025-09-28,gas,61.76
t5029,2025-10-05,utilities,185.79
t519,2025-07-04,retail,106.11
t10444,2025-09-19,gas,28.86
t3541,2025-09-08,gas,95.07
a182,2025-07-19,retail,2304.18
a76,2025-03-11,gas,838.26
t10459,2025-03-10,entertainment,94.66
t4411,2025-03-10,other,64.47
t5701,2025-07-27,utilities,105.89
t2381,2025-06-02,retail,127.93
t2103,2025-04-18,gas,53.6
t6831,2025-01-19,utilities,93.16
t6907,2025-04-12,entertainment,44.19
t7846,2025-07-09,food,17.84
t10096,2025-02-13,food,23.51
t10821,2025-10-15,retail,100.84
t1644,2025-05-23,food,30.19
t32,2025-08-24,utilities,116.08
t2228,2025-05-13,entertainment,117.49
t9292,2025-10-22,gas,29.65
t10505,2025-09-24,gas,23.31
t7172,2025-07-27,gas,57.53
t1792,2025-03-31,entertainment,41.16
t5399,2025-03-18,retail,94.3
t7173,2025-07-27,food,26.09
t674,2025-08-05,other,164.03
t51,2025-02-22,food,40.04
t484,2025-02-21,travel,800.5
t1924,2025-08-30,food,19.27
a20,2025-07-17,other,1380.53
t9222,2025-01-14,food,14.39
t10516,2025-08-12,food,24.13
t928,2025-02-21,food,37.62
t5532,2025-09-10,other,101.58
t4920,2025-10-01,food,27.45
t8499,2025-09-17,food,13.42
t1951,2025-07-18,food,26.37
t8076,2025-07-06,other,96.2
t2168,2025-08-31,entertainment,70.51
t7069,2025-02-23,travel,224.41
t4925,2025-01-18,retail,110.71
t8385,2025-02-25,food,34.09
t3035,2025-05-12,entertainment,75.35
a154,2025-01-04,retail,1034.82
t7061,2025-02-27,retail,196.58
t9339,2025-05-21,food,39.32
t7906,2025-10-20,other,120.68
t4607,2025-02-16,food,8.27
t2349,2025-07-30,gas,45.94
t1348,2025-02-03,utilities,137.45
t2767,2025-10-23,entertainment,52.3
t4041,2025-04-29,food,23.95
t2237,2025-02-07,retail,113.13
t5717,2025-05-27,gas,64.36
t10119,2025-09-27,food,31.63
t7404,2025-06-16,utilities,157.89
t7986,2025-01-11,food,30.91
t11227,2025-07-07,travel,408.52
t1431,2025-04-30,food,30.06
t1276,2025-01-04,gas,48.04
t7756,2025-02-10,food,35.0
t10182,2025-08-09,entertainment,134.31
t6516,2025-08-26,travel,504.81
t3155,2025-03-27,other,86.4
t3370,2025-10-02,retail,101.54
t10903,2025-03-18,other,93.3
t5636,2025-04-08,entertainment,5.0
t4709,2025-09-24,other,30.61
t4839,2025-10-06,food,17.52
t3049,2025-04-28,gas,42.29
t7811,2025-04-16,retail,111.63
t11176,2025-06-02,retail,153.66
t9800,2025-03-29,retail,127.12
t5581,2025-04-04,retail,162.09
t7808,2025-10-02,other,94.75
t3289,2025-09-16,utilities,101.31
t2013,2025-10-02,food,6.84
t7093,2025-02-22,other,19.39
t1454,2025-03-05,food,25.93
t1079,2025-05-09,gas,42.75
t6464,2025-05-30,retail,96.78
t10502,2025-06-20,entertainment,85.25
t435,2025-03-12,entertainment,104.74
t7196,2025-05-02,gas,53.68
t614,2025-03-23,food,31.57
a166,2025-02-16,utilities,1998.55
t2994,2025-03-08,utilities,160.91
t11663,2025-09-27,gas,45.37
t1112,2025-02-05,food,35.93
t7248,2025-03-25,gas,87.55
t7710,2025-04-01,gas,60.51
t10791,2025-05-26,food,40.65
t1283,2025-03-14,food,31.56
t2454,2025-07-03,entertainment,63.36
t10513,2025-04-13,utilities,105.31
t7891,2025-05-13,retail,40.16
a199,2025-08-27,gas,447.9
t6593,2025-07-28,other,90.09
t8367,2025-09-03,retail,107.77
t915,2025-07-05,retail,131.17
t5282,2025-05-17,gas,95.04
t5837,2025-03-23,entertainment,44.65
t9328,2025-05-07,retail,184.7
t1198,2025-08-11,retail,56.64
t6388,2025-03-01,gas,82.07
t9567,2025-04-12,gas,55.62
t7734,2025-07-22,food,16.45
t2877,2025-10-07,travel,661.09
t8324,2025-07-30,retail,119.73
t5909,2025-07-10,food,19.65
t7999,2025-02-20,utilities,166.02
t108,2025-06-27,utilities,136.99
t3690,2025-01-05,retail,20.13
t4608,2025-04-07,utilities,81.51
t9976,2025-03-12,food,31.28
t11335,2025-02-14,gas,79.19
t8092,2025-09-16,entertainment,63.84
t8217,2025-07-24,retail,134.27
t968,2025-10-27,food,11.15
t6250,2025-01-04,other,116.19
t218,2025-09-30,food,12.02
t2983,2025-08-03,entertainment,59.59
t7444,2025-03-04,food,29.58
t5580,2025-04-10,food,39.26
t7700,2025-02-09,retail,112.09
t8476,2025-06-03,other,68.97
t4951,2025-01-19,utilities,187.97
t511,2025-10-19,retail,75.15
t5235,2025-02-23,retail,111.44
t6821,2025-04-15,entertainment,91.86
t4484,2025-03-08,gas,57.29
t6063,2025-06-06,retail,62.8
t574,2025-03-02,entertainment,126.32
t6576,2025-10-16,food,23.02
t40,2025-10-16,other,44.68
t4218,2025-08-24,other,79.99
t3911,2025-04-04,gas,55.2
t1624,2025-03-07,gas,59.78
t7282,2025-09-08,retail,53.59
t1415,2025-03-09,retail,139.81
t2565,2025-05-07,gas,85.82
t6849,2025-09-05,food,23.71
t2407,2025-01-23,food,34.79
t8845,2025-04-22,retail,85.87
t8644,2025-08-04,retail,85.25
t5227,2025-08-07,gas,39.9
t3285,2025-02-13,food,32.18
t5479,2025-08-30,food,23.52
t347,2025-06-22,gas,71.96
t7223,2025-07-27,other,94.28
t7111,2025-03-06,gas,64.76
t2629,2025-01-17,utilities,162.0
t9844,2025-02-25,entertainment,5.0
t3315,2025-05-30,food,21.19
t7633,2025-07-02,food,29.01
t3044,2025-10-19,other,38.16
t10671,2025-04-01,food,29.57
t4994,2025-10-01,other,53.2
t7423,2025-09-09,food,15.45
t4048,2025-05-06,food,16.89
t9058,2025-06-15,other,101.3
a236,2025-06-18,gas,1498.7
t5035,2025-05-09,entertainment,17.62
t4611,2025-03-02,entertainment,32.26
a197,2025-06-17,other,2000.32
t5336,2025-07-15,utilities,96.93
t9592,2025-04-24,retail,107.01
a32,2025-08-04,retail,2009.99
t5012,2025-02-10,gas,63.74
t9040,2025-08-04,retail,139.87
t938,2025-07-25,food,30.25
t4533,2025-04-10,entertainment,82.33
t4845,2025-04-19,food,27.08
t3465,2025-08-24,gas,60.07
t8070,2025-06-15,retail,170.47
t178,2025-02-21,food,21.56
t7334,2025-05-01,food,33.85
t3603,2025-06-29,food,28.92
t8303,2025-08-17,gas,81.68
t7502,2025-03-06,retail,76.24
t10632,2025-10-07,food,32.3
t1220,2025-07-03,retail,92.16
t8311,2025-02-17,travel,429.57
t11354,2025-02-14,gas,47.77
t7020,2025-08-22,food,32.06
t9843,2025-04-23,food,23.67
t458,2025-08-21,food,24.0
t5065,2025-07-11,food,14.85
t1158,2025-10-27,food,27.67
t9515,2025-01-07,gas,61.89
t3239,2025-07-30,gas,85.27
t9831,2025-10-04,gas,43.02
t1214,2025-03-15,travel,982.92
t11132,2025-05-22,retail,107.98
t11481,2025-05-01,utilities,125.52
a89,2025-03-26,food,471.88
t7837,2025-01-02,food,32.21
t10624,2025-05-08,gas,63.35
t8944,2025-09-19,other,121.87
t933,2025-03-27,retail,122.54
t4723,2025-10-14,entertainment,36.03
t4194,2025-08-21,gas,53.56
t2232,2025-08-09,entertainment,48.48
t2652,2025-05-17,food,38.26
t1985,2025-09-02,utilities,201.67
t8807,2025-07-04,food,29.14
t2474,2025-02-23,food,21.7
t1434,2025-04-20,food,30.86
t10884,2025-10-18,retail,60.76
t5368,2025-02-16,entertainment,88.33
t4032,2025-04-06,travel,165.77
t2215,2025-03-04,utilities,83.67
t11258,2025-08-30,food,24.2
t304,2025-06-27,entertainment,67.72
t8945,2025-05-20,food,23.65
t10762,2025-09-09,retail,123.41
t971,2025-04-14,retail,132.96
t10422,2025-03-14,food,11.55
t5415,2025-04-10,utilities,128.86
t211,2025-08-02,retail,136.75
t1935,2025-08-17,food,41.36
t11696,2025-05-11,food,27.75
t652,2025-02-25,retail,129.13
t11206,2025-07-24,retail,136.11
t9310,2025-05-27,entertainment,63.37
t10143,2025-10-03,entertainment,52.79
t8234,2025-08-02,food,27.5
t3614,2025-05-23,retail,182.19
t6818,2025-04-04,food,24.78
t6023,2025-04-22,gas,54.99
t3015,2025-08-23,food,31.58
a163,2025-09-09,food,996.89
t2975,2025-08-13,other,130.57
t8107,2025-10-08,entertainment,38.08
t2319,2025-07-31,retail,112.92
t1422,2025-10-02,entertainment,69.44
t3548,2025-08-05,retail,131.29
t1140,2025-03-07,food,22.61
t9756,2025-01-09,utilities,94.51
t6855,2025-04-07,retail,91.72
t7794,2025-06-20,food,20.88
t7247,2025-10-19,gas,23.13
t2880,2025-07-08,other,16.42
t750,2025-08-16,retail,86.73
t11353,2025-01-17,entertainment,81.09
t8373,2025-07-08,retail,112.45
t399,2025-01-22,utilities,66.24
t6984,2025-10-15,travel,928.27
t10450,2025-01-08,food,24.61
t322,2025-06-10,retail,97.83
t3618,2025-04-15,travel,700.64
t7349,2025-08-31,food,37.33
t10443,2025-07-22,gas,73.38
t4603,2025-09-23,gas,51.3
t6606,2025-07-02,gas,42.91
t4095,2025-05-23,retail,108.74
t7590,2025-05-25,entertainment,69.66
t10413,2025-06-15,utilities,130.53
t11479,2025-06-27,retail,111.32
t3887,2025-02-28,entertainment,36.28
t11178,2025-04-05,gas,60.04
t9165,2025-07-29,retail,90.57
t765,2025-03-16,retail,117.67
t6677,2025-10-18,food,40.82
t6163,2025-08-05,other,125.52
a74,2025-03-01,travel,5930.34
t10924,2025-05-03,utilities,134.65
t9742,2025-08-28,utilities,142.94
t8329,2025-04-11,retail,104.58
t3034,2025-03-06,entertainment,86.69
t5096,2025-09-21,food,23.77
t6358,2025-08-19,gas,54.37
t10744,2025-03-30,utilities,178.39
t1666,2025-01-31,food,33.68
t3133,2025-04-24,other,35.55
t8127,2025-06-02,entertainment,63.15
t474,2025-08-09,retail,64.11
